portfolio_id,freelancer_id,project_title,project_description,completion_date,is_auto_generated
0e4635c1-f97f-40bb-883d-9be2e9ea5897,ff3bb0e9-b5db-4ce2-9d45-3a4e5fa7ede9,"Frontend Showcase: Customer dashboard with charting, filtering, and C","Customer dashboard with charting, filtering, and CSV export — handles 200k rows. Personal/showcase project; full case-study available on request. Tech stack reflects core Frontend expertise.",2024-10-10,0
f75a391b-04ac-490d-8c2d-47a9c8c6caf5,ff3bb0e9-b5db-4ce2-9d45-3a4e5fa7ede9,Frontend Engagement — 2023,Completed project: Admin panel with role-based access control and granular permission editing. Delivered for client engagement.,2023-07-18,1
0399b26c-44dc-4c7f-b84c-3f1237adb89e,ff3bb0e9-b5db-4ce2-9d45-3a4e5fa7ede9,"Frontend Showcase: Real-time chat UI with typing indicators, read rec","Real-time chat UI with typing indicators, read receipts, and file uploads. Personal/showcase project; full case-study available on request. Tech stack reflects core Frontend expertise.",2023-03-20,0
50cad0d1-f29e-4e67-acf6-63bb6d9b5eef,ff3bb0e9-b5db-4ce2-9d45-3a4e5fa7ede9,"Frontend Showcase: Real-time chat UI with typing indicators, read rec","Real-time chat UI with typing indicators, read receipts, and file uploads. Personal/showcase project; full case-study available on request. Tech stack reflects core Frontend expertise.",2025-07-07,0
98acdd32-0456-4c63-9226-ee73d56e855d,27ba6c85-5d8b-43a5-95e0-9a5ceddf2e51,Design Engagement — 2026,"Completed project: Brand redesign for an EdTech startup — logo, type system, web and print collateral. Delivered for client engagement.",2026-01-03,1
123d9e96-08ba-4780-a901-f6043c6179c7,27ba6c85-5d8b-43a5-95e0-9a5ceddf2e51,Design Engagement — 2025,"Completed project: Brand redesign for an EdTech startup — logo, type system, web and print collateral. Delivered for client engagement.",2025-11-04,1
da247598-59a4-4cb9-a161-41889ad6d1fc,27ba6c85-5d8b-43a5-95e0-9a5ceddf2e51,Design Engagement — 2024,Completed project: Marketing site for a B2B SaaS product including illustrations and motion. Delivered for client engagement.,2024-12-09,1
1dafc3b6-0863-479c-9a4f-444114c66a6a,27ba6c85-5d8b-43a5-95e0-9a5ceddf2e51,Design Engagement — 2022,Completed project: Mobile app redesign cutting onboarding drop-off from 60% to 25%. Delivered for client engagement.,2022-07-23,1
5fa8daf9-1fe7-4ef3-8495-7d161ed8b005,27ba6c85-5d8b-43a5-95e0-9a5ceddf2e51,Design Engagement — 2026,Completed project: Design system covering 80 components with light/dark themes and tokens. Delivered for client engagement.,2026-03-04,1
829cd970-647c-4cd3-bcdc-23403f2185df,93d7cdd9-6e09-403d-94f8-141e196bd172,Frontend Showcase: Admin panel with role-based access control and gra,Admin panel with role-based access control and granular permission editing. Personal/showcase project; full case-study available on request. Tech stack reflects core Frontend expertise.,2023-06-18,0
7c815a17-cd12-4962-b8e8-e5639d043b27,93d7cdd9-6e09-403d-94f8-141e196bd172,Frontend Engagement — 2024,Completed project: Admin panel with role-based access control and granular permission editing. Delivered for client engagement.,2024-09-10,1
67097c97-42c8-42e5-a089-d57143826f5e,93d7cdd9-6e09-403d-94f8-141e196bd172,Frontend Engagement — 2023,"Completed project: Customer dashboard with charting, filtering, and CSV export — handles 200k rows. Delivered for client engagement.",2023-09-16,1
d97fcf4f-92cf-4892-acc1-c70fd199b5d0,93d7cdd9-6e09-403d-94f8-141e196bd172,"Frontend Showcase: Real-time chat UI with typing indicators, read rec","Real-time chat UI with typing indicators, read receipts, and file uploads. Personal/showcase project; full case-study available on request. Tech stack reflects core Frontend expertise.",2022-05-24,0
276cfe4b-bb2d-4968-a9ad-07d433b374ea,93d7cdd9-6e09-403d-94f8-141e196bd172,"Frontend Showcase: Real-time chat UI with typing indicators, read rec","Real-time chat UI with typing indicators, read receipts, and file uploads. Personal/showcase project; full case-study available on request. Tech stack reflects core Frontend expertise.",2025-02-07,0
c29f09d6-4521-4b42-b043-dd3de5a32381,6d979a99-f687-4990-9447-59cf33b6b641,Fullstack Showcase: Inventory management web app with barcode scanning,Inventory management web app with barcode scanning on mobile and desktop. Personal/showcase project; full case-study available on request. Tech stack reflects core Fullstack expertise.,2022-06-23,0
b2c95dff-e831-4d77-b5ec-acaef86f1310,6d979a99-f687-4990-9447-59cf33b6b641,Fullstack Engagement — 2022,Completed project: Inventory management web app with barcode scanning on mobile and desktop. Delivered for client engagement.,2022-07-23,1
f6dc6f5c-5d4e-4786-852f-a8608721d634,6d979a99-f687-4990-9447-59cf33b6b641,"Fullstack Showcase: Booking platform integrating Google Calendar, vide","Booking platform integrating Google Calendar, video calls, and SMS reminders. Personal/showcase project; full case-study available on request. Tech stack reflects core Fullstack expertise.",2025-08-06,0
776e6913-6b46-414f-82d9-b19303c910bc,d5cc99ca-0f8b-4e2f-bc99-b8287784828b,Frontend Engagement — 2025,"Completed project: Real-time chat UI with typing indicators, read receipts, and file uploads. Delivered for client engagement.",2025-11-04,1
6a0baf92-27bf-4c10-987f-da56fffeeab4,d5cc99ca-0f8b-4e2f-bc99-b8287784828b,Frontend Engagement — 2023,Completed project: Admin panel with role-based access control and granular permission editing. Delivered for client engagement.,2023-09-16,1
