job_post_id,client_id,job_title,job_description,project_type,project_scope,experience_level,status,domain
2a331255-2c12-4fc1-910a-c33f775c7301,fc56e631-35c9-4d8b-a620-2e00f5d914c8,Full-Stack Developer,"Seeking a Fullstack specialist (level: intermediate) for a 4–12 week engagement. The main scope is: Build the MVP for a fitness-tracking SaaS — Next.js app, PostgreSQL, Stripe billing. On top of that, you may help with build an inventory management web app with barcode scanning on mobile and desktop. Prior experience shipping similar projects is required — please link relevant work. Delivery is in two-week iterations with a demo at the end of each cycle.",team,large,intermediate,active,fullstack
b1990919-11da-4bbd-8f7f-32e9bb171557,ae54c8ff-2898-4937-a449-b1b5d39c94e6,Junior Backend Engineer,Project posting: Backend contractor at the intermediate level. Primary deliverable: Add full-text search to an existing FastAPI service using PostgreSQL tsvector. There is also some adjacent work around build an internal admin tool with audit log and granular permissions. Code is reviewed in pull requests; mainline must always be deployable.,individual,large,intermediate,active,backend
526300e8-4703-44b6-b9e9-a4f9a526b0e5,5fa74575-ff29-4102-86c5-709215d3b0f0,Lead Backend Developer,Seeking a Backend specialist (level: intermediate) for a 4–12 week engagement. The main scope is: Migrate a legacy MySQL database to PostgreSQL with zero downtime. Stretch goal if time allows: Implement event sourcing for an e-commerce order lifecycle. Prior experience shipping similar projects is required — please link relevant work. Delivery is in two-week iterations with a demo at the end of each cycle.,individual,large,intermediate,closed,backend
5a2b555d-29e6-4b67-b861-7fe6699f8450,7a36e5e5-7888-4f1a-85ed-6cfee297d200,Mid-level Mobile Developer,"We are looking to hire a intermediate-level contributor for a remote Mobile engagement. Primary deliverable: Implement a travel itinerary builder with airline schedule sync and weather overlays. Stretch goal if time allows: Migrate an existing Cordova app to Flutter with feature parity. You should be comfortable owning the work end-to-end and writing brief weekly updates. Weekly written status updates expected, with one async video walkthrough per milestone.",individual,small,intermediate,active,mobile
a0faea2b-deb4-4bf1-881f-b98429f8f4eb,b46a1288-9604-481c-9edd-296b211d8ce0,UX Design Developer,"Our team needs an expert Design freelancer to support an active project. Core work: Brand redesign for an EdTech startup — logo, type system, web and print collateral. Stretch goal if time allows: Build a design system covering 80 components with light/dark themes and tokens. You should be comfortable owning the work end-to-end and writing brief weekly updates. Engagement is fully remote; team timezones are GMT+7 and GMT−5.",individual,medium,expert,filled,design
1ece7480-4fe9-4a21-8073-96e3340f3d70,31275253-e1f2-4ac2-bbc2-2d4532c3fcb9,UI Development Engineer,Open contract: Frontend work suited to a expert contributor. The main scope is: Add accessibility (WCAG 2.1 AA) compliance to an existing SaaS product. You should be comfortable owning the work end-to-end and writing brief weekly updates. Delivery is in two-week iterations with a demo at the end of each cycle.,team,large,expert,active,frontend
e84f0a8d-2779-4b9c-b5e8-87cf332e7afc,a093ba37-3b97-41d3-8d8f-e857c16c6149,UI Development Engineer,"Project posting: Frontend contractor at the expert level. We need someone to create a design-system library with 30 components, dark mode, and Storybook docs. Secondary tasks may include build a real-time chat UI with typing indicators, read receipts, and file uploads. Delivery is in two-week iterations with a demo at the end of each cycle.",individual,medium,expert,active,frontend
a328013f-b1cc-4e7a-9e55-f9d30d7cb211,9c276e03-e93c-49a5-9f65-8bf3cc80df72,Senior Full Stack Engineer,"Project posting: Fullstack contractor at the intermediate level. The main scope is: Create a B2B vendor portal with invoice generation, e-signing, and audit trail. Stretch goal if time allows: Build an inventory management web app with barcode scanning on mobile and desktop. Two-week iteration cadence with one async demo per cycle. Delivery is in two-week iterations with a demo at the end of each cycle.",individual,large,intermediate,active,fullstack
e8baf98e-83c4-4a01-b466-349a0aa0ad3c,c218e39f-f69d-4275-9780-5e8457eb806c,Frontend Development Specialist,"Open contract: Frontend work suited to a intermediate contributor. We need someone to build a customer dashboard with charting, filtering, and CSV export — must handle 200k rows. Stretch goal if time allows: Implement a multi-step onboarding flow with autosave and validation across 12 fields. We expect clear documentation of decisions and trade-offs. Payment is milestone-based; budget includes bug fixes within 30 days of delivery.",team,medium,intermediate,active,frontend
bfe71d26-a200-4cd5-9ad3-c06fa201fcfe,60a4b42a-4eaf-458a-b4b1-f3f970be6185,Mid-level Solidity Engineer,"Open contract: Blockchain work suited to a expert contributor. The main scope is: Implement a subgraph indexer for an existing protocol with 6 entity types. On top of that, you may help with build a yield-aggregator vault with composable strategy modules. Payment is milestone-based; budget includes bug fixes within 30 days of delivery.",team,small,expert,filled,blockchain
